season,episode,characterID,role_name,actor_name,personID
1,1,0666238,Lucas Scott,Chad Michael Murray,0614877
1,1,0666238,Nathan Scott,James Lafferty,0480798
1,1,0666238,Peyton Sawyer,Hilarie Burton,1122026
1,1,0666238,Haley James,Bethany Joy Lenz,0502342
1,1,0666238,Dan Scott,Paul Johansson,0424035
1,1,0666238,Brooke Davis,Sophia Bush,0124208
1,1,0666238,Whitey,Barry Corbin,0179224
1,1,0666238,Keith Scott,Craig Sheffer,0001729
1,1,0666238,Karen Roe,Moira Kelly,0446702
1,1,0666238,Antwon 'Skills' Taylor,Antwon Tanner,0849612
1,1,0666238,Jake Jaglieski,Bryan Greenberg,1034965
1,1,0666238,Reagan,Samantha Shelton,1009568
1,1,0666238,Mouth,Lee Norris,0635851
1,1,0666238,Edwards,Colin Fickes,0275690
1,1,0666238,Tim,Brett Claywell,1505775
1,1,0666238,Junk,Cullen Moss,1150144
1,1,0666238,Officer Wayman,John Keenan,0444655
1,1,0666238,Principal Turner,Shawn Shepard,0791681
1,1,0666238,Melody,Melissa Claire Egan,1527573
1,1,0666238,Fergie Thompson,Vaughn Wilson,1535682
1,2,0666253,Lucas Scott,Chad Michael Murray,0614877
1,2,0666253,Nathan Scott,James Lafferty,0480798
1,2,0666253,Peyton Sawyer,Hilarie Burton,1122026
1,2,0666253,Haley James,Bethany Joy Lenz,0502342
1,2,0666253,Dan Scott,Paul Johansson,0424035
1,2,0666253,Brooke Davis,Sophia Bush,0124208
1,2,0666253,Whitey,Barry Corbin,0179224
1,2,0666253,Keith Scott,Craig Sheffer,0001729
1,2,0666253,Karen Roe,Moira Kelly,0446702
1,2,0666253,Antwon 'Skills' Taylor,Antwon Tanner,0849612
1,2,0666253,Jake Jaglieski,Bryan Greenberg,1034965
1,2,0666253,Mouth,Lee Norris,0635851
1,2,0666253,Edwards,Colin Fickes,0275690
1,2,0666253,Tim,Brett Claywell,1505775
1,2,0666253,Junk,Cullen Moss,1150144
1,2,0666253,Fergie,Vaughn Wilson,1535682
1,2,0666253,Mr. Kelly,Jason Davis,1151921
1,3,0666215,Lucas Scott,Chad Michael Murray,0614877
1,3,0666215,Nathan Scott,James Lafferty,0480798
1,3,0666215,Peyton Sawyer,Hilarie Burton,1122026
1,3,0666215,Haley James,Bethany Joy Lenz,0502342
1,3,0666215,Dan Scott,Paul Johansson,0424035
1,3,0666215,Brooke Davis,Sophia Bush,0124208
1,3,0666215,Whitey,Barry Corbin,0179224
1,3,0666215,Keith Scott,Craig Sheffer,0001729
1,3,0666215,Karen Roe,Moira Kelly,0446702
1,3,0666215,Jake Jaglieski,Bryan Greenberg,1034965
1,3,0666215,Mouth,Lee Norris,0635851
1,3,0666215,Jeff Nelson,Cedric Pendleton,0671723
1,3,0666215,Tim,Brett Claywell,1505775
1,3,0666215,Junk,Cullen Moss,1150144
1,3,0666215,Fergie,Vaughn Wilson,1535682
1,3,0666215,Mr. Kelly,Jason Davis,1151921
1,3,0666215,Shari Smith,Amy Parrish,0663511
1,3,0666215,Brandon,Corey Jackson,1139042
1,3,0666215,Rachel,Rhoda Griffis,0341421
1,3,0666215,Alice,Melissa Ponzio,0690754
1,3,0666215,Pretty Girl,Leigh Jones,1537243
1,3,0666215,Kid,Marc Tschudi,1544702
1,4,0666220,Lucas Scott,Chad Michael Murray,0614877
1,4,0666220,Nathan Scott,James Lafferty,0480798
1,4,0666220,Peyton Sawyer,Hilarie Burton,1122026
1,4,0666220,Haley James,Bethany Joy Lenz,0502342
1,4,0666220,Dan Scott,Paul Johansson,0424035
1,4,0666220,Brooke Davis,Sophia Bush,0124208
1,4,0666220,Whitey,Barry Corbin,0179224
1,4,0666220,Keith Scott,Craig Sheffer,0001729
1,4,0666220,Karen Roe,Moira Kelly,0446702
1,4,0666220,Deb Scott,Barbara Alyn Woods,0940504
1,4,0666220,Tim,Brett Claywell,1505775
1,4,0666220,Johnny 'Vegas' Norris,Drew Seeley,1192060
1,4,0666220,Theresa,Sarah Edwards,1547052
1,4,0666220,Young Dan,Austin Carty,1556318
1,4,0666220,Young Karen,Nancy Moreno,1556561
1,4,0666220,Kid #2,Christopher Duncan,1547051
1,4,0666220,Skyler,Cory Palumbo,2811215
1,5,0666213,Lucas Scott,Chad Michael Murray,0614877
1,5,0666213,Nathan Scott,James Lafferty,0480798
1,5,0666213,Peyton Sawyer,Hilarie Burton,1122026
1,5,0666213,Haley James,Bethany Joy Lenz,0502342
1,5,0666213,Dan Scott,Paul Johansson,0424035
1,5,0666213,Brooke Davis,Sophia Bush,0124208
1,5,0666213,Whitey,Barry Corbin,0179224
1,5,0666213,Keith Scott,Craig Sheffer,0001729
1,5,0666213,Karen Roe,Moira Kelly,0446702
1,5,0666213,Deb Scott,Barbara Alyn Woods,0940504
1,5,0666213,P.A. Announcer,Terry Horton,1635022
1,5,0666213,Max,Jon Stafford,0821305
1,5,0666213,Tim Smith,Brett Claywell,1505775
1,5,0666213,Bruce,Tracy Williams,1624383
1,6,0666222,Lucas Scott,Chad Michael Murray,0614877
1,6,0666222,Nathan Scott,James Lafferty,0480798
1,6,0666222,Peyton Sawyer,Hilarie Burton,1122026
1,6,0666222,Haley James,Bethany Joy Lenz,0502342
1,6,0666222,Dan Scott,Paul Johansson,0424035
1,6,0666222,Brooke Davis,Sophia Bush,0124208
1,6,0666222,Whitey,Barry Corbin,0179224
1,6,0666222,Keith Scott,Craig Sheffer,0001729
1,6,0666222,Karen Roe,Moira Kelly,0446702
1,6,0666222,Thing,Sam Horrigan,0395353
1,6,0666222,Thing #3,Dave Power,0694386
1,6,0666222,Deb Scott,Barbara Alyn Woods,0940504
1,6,0666222,Mouth,Lee Norris,0635851
1,6,0666222,Tim,Brett Claywell,1505775
1,6,0666222,Thing #1,Dan Becker,11576730
1,6,0666222,Trainer,Sam Robison,1092336
1,6,0666222,Ref,B.J. Britt,1580957
1,6,0666222,Entrepreneur,Robert C. Treveiler,0872354
1,6,0666222,MC,Jeff Wicker,1581778
1,6,0666222,Bevin Mirskey,Bevin Prince,1652374
1,7,0666233,Lucas Scott,Chad Michael Murray,0614877
1,7,0666233,Nathan Scott,James Lafferty,0480798
1,7,0666233,Peyton Sawyer,Hilarie Burton,1122026
1,7,0666233,Haley James,Bethany Joy Lenz,0502342
1,7,0666233,Dan Scott,Paul Johansson,0424035
1,7,0666233,Brooke Davis,Sophia Bush,0124208
1,7,0666233,Whitey,Barry Corbin,0179224
1,7,0666233,Keith Scott,Craig Sheffer,0001729
1,7,0666233,Karen Roe,Moira Kelly,0446702
1,7,0666233,Jake Jaglieski,Bryan Greenberg,1034965
1,7,0666233,Deb Scott,Barbara Alyn Woods,0940504
1,7,0666233,Tim,Brett Claywell,1505775
1,7,0666233,Shari Smith,Amy Parrish,0663511
1,7,0666233,Theresa,Sarah Edwards,1547052
1,7,0666233,Lori,Melissa Claire Egan,1527573
1,7,0666233,Peter,Mitchell Laurance,0491006
1,7,0666233,Chuck T.,Darryl Van Leer,0887367
1,7,0666233,Caterer,Beth W. Crookham,1581025
1,7,0666233,Bevin Mirskey,Bevin Prince,1652374
1,7,0666233,Student,Eric L. Rhodes,9020660
1,8,0666255,Lucas Scott,Chad Michael Murray,0614877
1,8,0666255,Nathan Scott,James Lafferty,0480798
1,8,0666255,Peyton Sawyer,Hilarie Burton,1122026
1,8,0666255,Haley James,Bethany Joy Lenz,0502342
1,8,0666255,Dan Scott,Paul Johansson,0424035
1,8,0666255,Brooke Davis,Sophia Bush,0124208
1,8,0666255,Whitey,Barry Corbin,0179224
1,8,0666255,Keith Scott,Craig Sheffer,0001729
1,8,0666255,Karen Roe,Moira Kelly,0446702
1,8,0666255,Gabe,Mike Erwin,0991437
1,8,0666255,Antwon 'Skills' Taylor,Antwon Tanner,0849612
1,8,0666255,Abercrombie,Sean Faris,0267511
1,8,0666255,Deb Scott,Barbara Alyn Woods,0940504
1,8,0666255,Mouth,Lee Norris,0635851
1,8,0666255,Junk,Cullen Moss,1150144
1,8,0666255,Fergie,Vaughn Wilson,1535682
1,8,0666255,Tim,Brett Claywell,1505775
1,8,0666255,Max,Tilky Jones,0429348
1,8,0666255,R. A.,Hatcher Flaschen,1065243
1,8,0666255,Casey,Stephanie Wallace,1151629
1,8,0666255,Security Guard,Rob Kellum,2003353
1,9,0666267,Lucas Scott,Chad Michael Murray,0614877
1,9,0666267,Nathan Scott,James Lafferty,0480798
1,9,0666267,Peyton Sawyer,Hilarie Burton,1122026
1,9,0666267,Haley James,Bethany Joy Lenz,0502342
1,9,0666267,Dan Scott,Paul Johansson,0424035
1,9,0666267,Brooke Davis,Sophia Bush,0124208
1,9,0666267,Whitey,Barry Corbin,0179224
1,9,0666267,Keith Scott,Craig Sheffer,0001729
1,9,0666267,Karen Roe,Moira Kelly,0446702
1,9,0666267,Deb Scott,Barbara Alyn Woods,0940504
1,9,0666267,Mouth,Lee Norris,0635851
1,9,0666267,Tim,Brett Claywell,1505775
1,9,0666267,Theresa,Sarah Edwards,1547052
1,9,0666267,Doctor,Terry Loughlin,0521761
1,9,0666267,Ref,Mark Robert Ellis,1029259
1,9,0666267,Waitress,Thunderbird Dinwiddie,0227867
1,9,0666267,Stella,Andrea Bowen,0100792
1,9,0666267,Bevin Mirskey,Bevin Prince,1652374
1,10,0666269,Lucas Scott,Chad Michael Murray,0614877
1,10,0666269,Nathan Scott,James Lafferty,0480798
1,10,0666269,Peyton Sawyer,Hilarie Burton,1122026
1,10,0666269,Haley James,Bethany Joy Lenz,0502342
1,10,0666269,Dan Scott,Paul Johansson,0424035
1,10,0666269,Brooke Davis,Sophia Bush,0124208
1,10,0666269,Whitey,Barry Corbin,0179224
1,10,0666269,Keith Scott,Craig Sheffer,0001729
1,10,0666269,Karen Roe,Moira Kelly,0446702
1,10,0666269,Self,Gavin DeGraw,1501113
1,10,0666269,Antwon 'Skills' Taylor,Antwon Tanner,0849612
1,10,0666269,Jake Jaglieski,Bryan Greenberg,1034965
1,10,0666269,Deb Scott,Barbara Alyn Woods,0940504
1,10,0666269,Mouth,Lee Norris,0635851
1,10,0666269,Tim,Brett Claywell,1505775
1,10,0666269,Junk,Cullen Moss,1150144
1,10,0666269,Fergie,Vaughn Wilson,1535682
1,10,0666269,Johnny 'Vegas' Norris,Drew Seeley,1192060
1,10,0666269,Bellman,Brian Lafontaine,0480961
1,10,0666269,Springer,Marcus Bryant,1648052
1,10,0666269,Singing Girl,Brandi Ryans,1399082
1,10,0666269,Bevin Mirskey,Bevin Prince,1652374
1,11,0666251,Lucas Scott,Chad Michael Murray,0614877
1,11,0666251,Nathan Scott,James Lafferty,0480798
1,11,0666251,Peyton Sawyer,Hilarie Burton,1122026
1,11,0666251,Haley James,Bethany Joy Lenz,0502342
1,11,0666251,Dan Scott,Paul Johansson,0424035
1,11,0666251,Brooke Davis,Sophia Bush,0124208
1,11,0666251,Whitey,Barry Corbin,0179224
1,11,0666251,Keith Scott,Craig Sheffer,0001729
1,11,0666251,Karen Roe,Moira Kelly,0446702
1,11,0666251,Larry Sawyer,Thomas Ian Griffith,0001299
1,11,0666251,Jake Jaglieski,Bryan Greenberg,1034965
1,11,0666251,Dr. Nora Thorpe,Ann Cusack,0193639
1,11,0666251,Deb Scott,Barbara Alyn Woods,0940504
1,11,0666251,Tim,Brett Claywell,1505775
1,11,0666251,Cute Waitress,Erin Cline,1599810
1,11,0666251,New Kid,Toby Cockerell,0168319
1,11,0666251,Phil Duncan,Alex Revan,3041463
1,12,0666219,Lucas Scott,Chad Michael Murray,0614877
1,12,0666219,Nathan Scott,James Lafferty,0480798
1,12,0666219,Peyton Sawyer,Hilarie Burton,1122026
1,12,0666219,Haley James,Bethany Joy Lenz,0502342
1,12,0666219,Dan Scott,Paul Johansson,0424035
1,12,0666219,Brooke Davis,Sophia Bush,0124208
1,12,0666219,Whitey,Barry Corbin,0179224
1,12,0666219,Keith Scott,Craig Sheffer,0001729
1,12,0666219,Karen Roe,Moira Kelly,0446702
1,12,0666219,Royal Scott,Gerald McRaney,0574468
1,12,0666219,May Scott,Tess Harper,0002128
1,12,0666219,Larry Sawyer,Thomas Ian Griffith,0001299
1,12,0666219,Deb Scott,Barbara Alyn Woods,0940504
1,12,0666219,Customer,Jason Saucier,0766541
1,12,0666219,Road Worker,Gil Johnson,0425145
1,13,0666225,Lucas Scott,Chad Michael Murray,0614877
1,13,0666225,Nathan Scott,James Lafferty,0480798
1,13,0666225,Peyton Sawyer,Hilarie Burton,1122026
1,13,0666225,Haley James,Bethany Joy Lenz,0502342
1,13,0666225,Dan Scott,Paul Johansson,0424035
1,13,0666225,Brooke Davis,Sophia Bush,0124208
1,13,0666225,Whitey,Barry Corbin,0179224
1,13,0666225,Keith Scott,Craig Sheffer,0001729
1,13,0666225,Karen Roe,Moira Kelly,0446702
1,13,0666225,Carrie,Paula Trickey,0872632
1,13,0666225,Dr. Nora Thorpe,Ann Cusack,0193639
