"title","season","episode","rating","votes","original air date","plot","movieID","runtime_min"
"Pilot","1","1","8.401234567891","936","23 Sep. 2003","Nathan Scott is Tree Hill High's biggest basketball star and is dating Peyton, a cheerleader. Nathan's half brother, Lucas, joins the team - and threatens to take both Nathan's spot in the lineup and his girl.","666238","42"
"The Places You Have Come to Fear the Most","1","2","7.901234567891","593","30 Sep. 2003","Lucas plays his first game as a Tree Hill Raven...and chokes. He isn't the only one confronting insecurities: Peyton can't find the courage to submit her drawings for publication.","666253","45"
"Are You True?","1","3","8.001234567891","534","7 Oct. 2003","Frustrated by Lucas' growing popularity at school, Nathan searches for Lucas' weak spot, and has the team begin to initiate hazing incidents against him. Nathan also tries to seek tutoring help from Haley. Brooke begins to fall for Lucas. Meanwhile, Peyton is furious with Lucas for submitting her drawings to the local newspaper without her knowledge.","666215","44"
"Crash Into You","1","4","8.301234567891","517","14 Oct. 2003","After Lucas crowns another good game with the winning point, Nathan switches to plan B, inviting him to a party at his dad's luxurious beach house where he cleverly humiliates him with a truth game and a video of Lucas ma calling Dan her dream husband. After Lucas walks out livid, Haley is stranded, accepts a ride back from Nathan in Peyton's car and accepts to keep tutoring him since failing grades would kill all his and Dan's dreams. On his way back Nathan crashes into Lucas in the car of one of Keith's clients; Nathan thinks he can bluff his way out making Tim his ...","666220","44"
"All That You Can't Leave Behind","1","5","8.001234567891","489","21 Oct. 2003","After the disastrous party and car crash, things still look bad for everyone. Peyton meets coach at the cemetery and exchanges grief and memories about her mother's death in a car accident the one time she ignored a red light and his late wife Camilla. With the benefit match between the Ravens boys and their fathers coming up, captained by Nathan and Dan Scott, Keith is honored to be asked as substitute by his nephew Lucas, and joins in with his mother asking him to reconsider his intent to change his last name to hers after Dan barged in at Keith's auto shop saying ...","666213","45"
"Every Night Is Another Story","1","6","8.801234567891","644","28 Oct. 2003","Things are so bad between the Scott half-brothers that they are thrown off the court for rolling over the floor fighting each-other during a game in a North Carolina hick-town, Pinkerton. Brooke is hurt and scams a strong painkiller from a med student, but takes an overdose which forces Haley and Peyton to give the 'drunk' a ride; despite car trouble, they'll have it relatively easy getting back home. Coach decides to punish Nathan and Lucas by making them walk some 30 miles, which turns out just the 'fraternal' male bonding they needed as they are not given a lift ...","666222","43"
"Life in a Glass House","1","7","8.201234567891","497","4 Nov. 2003","Now Nathan is taking the heat off Lucas in the team, after their common escape from the hicks and as agreed with his attractive tutor Haley, the kids' attention shifts to boy-girl relationships. This time the battleground is Dan Scott's house, as he hosts a fancy party for the successful Ravens team and supporters, and his wife Deb makes sure even Keith, Lucas and Karen actually come. If anything doesn't help young couples forming or making up, then it's Brooke's nasty games such as truth and dare.","666233","44"
"The Search for Something More","1","8","8.401234567891","516","11 Nov. 2003","Brooke takes Peyton to a college party but the night takes a bad turn when someone drugs Peyton's drink. Nathan and Haley go on a scavenger hunt date set up by Brooke in an attempt to make up for her actions at the party the night before.","666255","44"
"With Arms Outstretched","1","9","8.201234567891","475","18 Nov. 2003","Tension mounts now the Ravens may get their first ever undefeated season if they win against Cove City, but instead of encouraging his son, Dan barks at Nathan he doesn't go deep enough while ordering him to convince his mother he's not unhappy, thus blaming the poor kid for her punishing him by running Karen's place. He decides to take amphetamines supplied by Tim's brother, which make him so aggressive coach throws him out at training; when he gently tries to take the next step while kissing Haley, she also shows him the door. Brooke gets Lucas to go out as 'reward'...","666267","41"
"You Gotta Go There to Come Back","1","10","8.101234567891","460","20 Jan. 2004","After Peyton walked in on Lucas kissing Brooke the night she got him drunk, they all feel uncomfortable but decide to stay friends; Haley and Peyton even team up to organize live entertainment in Karen's café. Because of Nathan's pills-disaster, coach cancels basketball practice till further notice, telling livid Dan -who fears for the Ravens' shot at a perfect season- 'the game is no fun any more' so he takes off pressure. Nathan feels happy again taking things easy with Haley, but Dan decrees they're 'going to have a good time' on the golf weekend he planned with ...","666269","44"
"The Living Years","1","11","7.801234567891","437","27 Jan. 2004","After Deb drags Dan and Nathan to a family therapist, where they only fight and each expect Nathan to take their side, Nathan looses faith in everything except Haley. Brooke begins to feel jealous about Lucas, but insecure as they have almost no common interests; Lucas and Peyton both reassure her. Lucas finds Peyton's dad home for once; he tells her another, even better paid job will drag him for months to New Zealand... Nathan talks to Keith and coach, who both tell him to do what's best for him, even if that means dropping basketball; he cuts practice and classes, ...","666251","60"
"Crash Course in Polite Conversations","1","12","8.401234567891","453","3 Feb. 2004","On Dan's birthday, his parents turn up unannounced; Dan tries to make everybody keep Nathan's quitting from them, and Haley offers to come for moral support. Just when she was counting off her dad's return home, Peyton gets a call a storm knocked four men off his ship, and she must identify if a corps is his, so Lucas drives her, but the roads are blocked too so they must spend the night in a motel, but Lucas doesn't forget Brooke. At the Scott diner, the mothers tell the truth, how grandpa Royal Scott also pushed Dan too hard till he took his mother's advice to use a...","666219","60"
"Hanging by a Moment","1","13","8.601234567891","455","10 Feb. 2004","In therapy with Deb, who by now wants a divorce, Dan tells he cut Lucas out of his life like a trapped man amputates his arm to survive. Haley gets basketball lessons (to pass PE) from patient Nathan, who to everyone's relief is back with the Ravens. Coach tells Keith he promised his wife 35 years ago they would 'start living' after 20 years of coaching; he just won 500 matches, but what about his most important intention: to make a difference? Strolling on the beach Dan meets Carrie, who fails to seduce him when invited to eat his spare steak as Nathan declined, but ...","666225","41"
"I Shall Believe","1","14","8.501234567891","441","17 Feb. 2004","When the doctor tells Keith it's too soon to tell how bad Lucas's injuries are, he informs Haley, who throws Nathan out immediately and calls Peyton, who is with Brooke at the time. A surprised Karen learns Dan saved Lucas by bringing him in and giving permission for surgery as his father, while Keith caused the accident under nearly illegal influence of alcohol. Karen and Deb comfort each-other at Lucas's sickbed, where Peyton briefly and Brooke more elaborately meet Karen. After Haley gives him the silent treatment, Nathan sadly admits to Deb he barely minds she's ...","666228","44"
"Suddenly Everything Has Changed","1","15","8.101234567891","426","24 Feb. 2004","Now Lucas is out of the coma and released home, where his ma tries to make him take it easy on doctors orders, Jake brings him a games console as a get-better-and-return gift from the Ravens and uses the opportunity to get a job in Karen's café. Nathan tells his ma he understands his parents' divorce is the only option by now, and turns all his attention to Haley, who makes him realize he's not a baby who must go where he's told but can legally choose; both parents seem confident and determined to win him over, but Dan convinces him Deb doesn't stand a chance because ...","666243","43"
"The First Cut Is the Deepest","1","16","7.901234567891","424","2 Mar. 2004","Nathan must choose which parent to live with after Dan and Deb's divorce. Dan forces Nathan to make the decision by threatening to reveal Deb's darkest secrets in court unless Nathan chooses him. Meanwhile, Lucas meets a beautiful stranger who challenges his perceptions of life since Lucas' car accident.","666245","44"
"Spirit in the Night","1","17","8.401234567891","449","6 Apr. 2004","Nathan has moved into his own apartment, away from both parents. To prepare for a match away, Coach orders Lucas to coach Nathan's weakest points, and makes them uneasy roommates; in the evening the boys sneak out but the strip joint Tim 'could get them in' turns out to be queer. Peyton and Sparkle Classic cheer-leading coach Brooke also find themselves bunking together; when Theresa falls sick, Haley is recruited and gets a crash course. Mouth spies the other teams -he demonstrates with more talent then most girls!- so they rework both choreography (Brooke) and music...","666242","60"
"To Wish Impossible Things","1","18","8.501234567891","452","13 Apr. 2004","By annual tradition the Raven boys are -willingly- auctioned for charity till midnight. Overeager go-go-dancer Tim fails to please the shallow girls, but $8 say he can do chores for Deb, whose warning to bring a clothes change as it will be sweaty is totally, Tim-optimistically-hornily misunderstood, in a way that almost shocks even Dan... Jake in cuddly mascot-costume fetches $100, but is furious to find from whom: his ex Nicki, who walked out on him and their baby daughter Jenny... Lucas fetched $115 from Haley, class act 'boy toy' Nathan $112.53 from Peyton (at ...","666260","44"
"How Can You Be Sure?","1","19","8.101234567891","417","20 Apr. 2004","Lucas believed he saw more then an auction slave's duty when Nathan kissed Peyton, but confronted Nathan is convincingly indignant. Brooke and a test kit tell Lucas they're expecting a baby. Jake still refuses Nikki any part in Jenny's life. Nathan tells Haley he doesn't understand she won't share his bed but tattooed his jersey number on her backside. After 15 years Keith proposes to Karen, who 'isn't ready', and decides to leave. Dan tells Lucas not to let Brooke ruin his life as Karen did by having him; and bursts in at Nathan's to tell him the beach-house will be ...","666226","42"
