event_id,season,episode,time,type,person_1,person_2,description,last_updated_timestamp,update_comment,main_type,path,person_nbr,all_partners,role_season_ep_count,role_ep_count
1,1,1,0:04:15,kiss,kid on bus #1,kid on bus #2,Couple #1 kisses on the stolen school bus.,1/26/2023 21:06,,kiss,|kid on bus #1|kid on bus #2|,1,|kid on bus #2|,,
2,1,1,0:04:17,kiss,kid on bus #3,kid on bus #4,Couple #2 kisses on the stolen school bus.,1/26/2023 21:06,,kiss,|kid on bus #3|kid on bus #4|,1,|kid on bus #4|,,
3,1,1,0:04:44,kiss,Melody,Nathan,Melody kisses Nathan while he is driving the stolen school bus.,1/26/2023 21:06,,kiss,|Melody|Nathan|,1,|Nathan|,1.0,1.0
4,1,1,0:14:17,kiss,Nathan,Peyton,Nathan trying to get Peyton to go out after the game.,1/26/2023 21:06,,kiss,|Nathan|Peyton|,1,|Gigi|Peyton|Melody|Taylor|Carrie|Haley|Brooke|Rachel|,18.0,123.0
5,1,1,0:37:39,fight,Lucas,Nathan,Nathan elbows Lucas in the face during the challenge at the river court.,1/26/2023 21:06,,fight,|Lucas|Nathan|,1,|Nathan|Basketball Team|Julian|Masonboro Player|Karen|Friend #1|Felix|Ronnie|Dan|Peyton|Gabe|Chris|Psycho Derek|Rusty|Deb|Brooke|Tim|,19.0,90.0
6,1,2,0:06:53,kiss,Nathan,Peyton,"In Nathan's car after the game (""SSORG!"")",1/26/2023 21:06,,kiss,|Nathan|Peyton|,1,|Gigi|Peyton|Melody|Taylor|Carrie|Haley|Brooke|Rachel|,18.0,123.0
7,1,2,0:16:02,fight,Lucas,Nathan,"""I can describe Lucas in one word.""",1/26/2023 21:06,,fight,|Lucas|Nathan|,1,|Nathan|Basketball Team|Julian|Masonboro Player|Karen|Friend #1|Felix|Ronnie|Dan|Peyton|Gabe|Chris|Psycho Derek|Rusty|Deb|Brooke|Tim|,19.0,90.0
8,1,2,0:29:31,fight,Lucas,Nathan,Lucas slings a basketball at Nathan.,1/26/2023 21:06,,fight,|Lucas|Nathan|,1,|Nathan|Basketball Team|Julian|Masonboro Player|Karen|Friend #1|Felix|Ronnie|Dan|Peyton|Gabe|Chris|Psycho Derek|Rusty|Deb|Brooke|Tim|,19.0,90.0
9,1,3,0:06:28,kiss,Nathan,Peyton,"In Peyton's room, while Nathan is complaining about the game.",1/26/2023 21:06,,kiss,|Nathan|Peyton|,1,|Gigi|Peyton|Melody|Taylor|Carrie|Haley|Brooke|Rachel|,18.0,123.0
10,1,3,0:31:15,fight,Basketball Team,Lucas,"The Ravens grab Lucas, kidnapping him for a hazing ritual.",1/26/2023 21:06,,fight,|Basketball Team|Lucas|,1,|Nathan|Lucas|,,
11,1,3,0:34:27,fight,Lucas,Tim,Tim shoves Lucas after Lucas steals the ball from him in practice.,1/26/2023 21:06,,fight,|Lucas|Tim|,1,|Nathan|Basketball Team|Julian|Masonboro Player|Karen|Friend #1|Felix|Ronnie|Dan|Peyton|Gabe|Chris|Psycho Derek|Rusty|Deb|Brooke|Tim|,19.0,90.0
12,1,4,0:02:28,kiss,Dan,Deb,When Deb returns home after a work trip.,1/26/2023 21:06,,kiss,|Dan|Deb|,1,|Karen|Patty|Deb|Haley|Rachel|,5.0,49.0
13,1,4,0:17:01,kiss,Dan,Karen,[On video] High-school Dan and Karen kiss during their prom interview.,1/26/2023 21:06,,kiss,|Dan|Karen|,1,|Karen|Patty|Deb|Haley|Rachel|,5.0,49.0
14,1,4,0:17:16,fight,Lucas,Nathan,Lucas shoves Nathan into a wall after Nathan shows the high school video of Dan and Karen.,1/26/2023 21:06,,fight,|Lucas|Nathan|,1,|Nathan|Basketball Team|Julian|Masonboro Player|Karen|Friend #1|Felix|Ronnie|Dan|Peyton|Gabe|Chris|Psycho Derek|Rusty|Deb|Brooke|Tim|,19.0,90.0
15,1,5,0:08:50,fight,Brooke,Peyton,Peyton throws her poms at Brooke during cheer practice.,1/26/2023 21:06,,fight,|Brooke|Peyton|,1,|Zombie bridesmaid #4|Sam|Chris|Millie|Julian|Jock|Tara|Zombie bridesmaid #2|Peyton|Missy|Haley|Tim|Lucas|Alex|Bankers|Nick (teacher)|Zombie bridesmaid #5|Sylvia|Rachel|Dan|Ted|Psycho Derek|Xavier|,10.0,106.0
16,1,5,0:29:54,kiss,Dan,Deb,"""Have you been naughty or nice?"" ""Which would you prefer?""",1/26/2023 21:06,,kiss,|Dan|Deb|,1,|Karen|Patty|Deb|Haley|Rachel|,5.0,49.0
17,1,5,0:39:16,fight,Dan,Nathan,Dan knocks Nathan down during the father-son basketball game.,1/26/2023 21:06,,fight,|Dan|Nathan|,1,|Officer Burns|Cooper|Andy|Brooke|Mrs. Edwards|Thug #2|Peyton|Billy (Drug Dealer)|Deb|Thug|Haley|Keith|Skills|Nathan|Clay|Lucas|Damien|Thug #4|Carrie|Mouth|Thug #3|Karen|Dimitri|Owen|Whitey|,5.0,49.0
18,1,6,0:05:32,kiss,Dan,Deb,Making plans for the SBL dinner.,1/26/2023 21:06,,kiss,|Dan|Deb|,1,|Karen|Patty|Deb|Haley|Rachel|,5.0,49.0
19,1,6,0:10:49,fight,Lucas,Nathan,"Nathan and Lucas fight during the basketball game, after Lucas insults Nathan.",1/26/2023 21:06,,fight,|Lucas|Nathan|,1,|Nathan|Basketball Team|Julian|Masonboro Player|Karen|Friend #1|Felix|Ronnie|Dan|Peyton|Gabe|Chris|Psycho Derek|Rusty|Deb|Brooke|Tim|,19.0,90.0
20,1,6,0:21:24,fight,Lucas,Nathan,"Nathan and Lucas fight during the ""Gladiator"" game after being kidnapped by the Pirates.",1/26/2023 21:06,,fight,|Lucas|Nathan|,1,|Nathan|Basketball Team|Julian|Masonboro Player|Karen|Friend #1|Felix|Ronnie|Dan|Peyton|Gabe|Chris|Psycho Derek|Rusty|Deb|Brooke|Tim|,19.0,90.0
21,1,6,0:33:42,fight,Dan,Keith,Keith and Dan fight at the Small Business League dinner.,1/26/2023 21:06,,fight,|Dan|Keith|,1,|Officer Burns|Cooper|Andy|Brooke|Mrs. Edwards|Thug #2|Peyton|Billy (Drug Dealer)|Deb|Thug|Haley|Keith|Skills|Nathan|Clay|Lucas|Damien|Thug #4|Carrie|Mouth|Thug #3|Karen|Dimitri|Owen|Whitey|,5.0,49.0
22,1,7,0:25:38,kiss,Lucas,Peyton,Playing Truth or Dare at the booster party.,1/26/2023 21:06,,kiss,|Lucas|Peyton|,1,|Lindsey|Peyton|Anna|Nicki|Haley|Brooke|Rachel|,19.0,90.0
23,1,7,0:32:25,kiss,Lucas,Peyton,Sneaking into a bedroom during the booster party.,1/26/2023 21:06,,kiss,|Lucas|Peyton|,1,|Lindsey|Peyton|Anna|Nicki|Haley|Brooke|Rachel|,19.0,90.0
24,1,7,0:39:11,kiss,Dan,Deb,Talking in the kitchen after the booster party.,1/26/2023 21:06,,kiss,|Dan|Deb|,1,|Karen|Patty|Deb|Haley|Rachel|,5.0,49.0
25,1,8,0:14:09,kiss,Abercrombie,Brooke,At the college party.,1/26/2023 21:06,,kiss,|Abercrombie|Brooke|,1,|Brooke|,1.0,1.0
26,1,8,0:20:58,fight,Gabe,Lucas,Lucas shoves and punches Gabe for drugging Peyton.,1/26/2023 21:06,,fight,|Gabe|Lucas|,1,|Lucas|,1.0,1.0
