id,name,character,season_number,episode_number,type
98050.0,James Lafferty,Nathan Scott,0,1,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,0,1,cast
73035.0,Paul Johansson,Dan Scott,0,1,cast
54830.0,Sophia Bush,Brooke Davis,0,1,cast
98050.0,James Lafferty,Nathan Scott,0,2,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,0,2,cast
73035.0,Paul Johansson,Dan Scott,0,2,cast
54830.0,Sophia Bush,Brooke Davis,0,2,cast
98050.0,James Lafferty,Nathan Scott,0,3,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,0,3,cast
73035.0,Paul Johansson,Dan Scott,0,3,cast
54830.0,Sophia Bush,Brooke Davis,0,3,cast
62747.0,Chad Michael Murray,Lucas Scott,1,1,cast
98050.0,James Lafferty,Nathan Scott,1,1,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,1,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,1,cast
73035.0,Paul Johansson,Dan Scott,1,1,cast
54830.0,Sophia Bush,Brooke Davis,1,1,cast
12852.0,Barry Corbin,Whitey Durham,1,1,cast
4138.0,Craig Sheffer,Keith Scott,1,1,cast
20005.0,Moira Kelly,Karen Roe,1,1,cast
166897.0,Lee Norris,Mouth McFadden,1,1,guest stars
93602.0,Antwon Tanner,Skills Taylor,1,1,guest stars
23821.0,Bryan Greenberg,Jake Jagielski,1,1,guest stars
27268.0,Samantha Shelton,Reagan,1,1,guest stars
52494.0,Colin Fickes,Jimmy Edwards,1,1,guest stars
1477824.0,John Keenan,Officer Wayman,1,1,guest stars
168655.0,Melissa Claire Egan,Melody,1,1,guest stars
1477823.0,Shawn Shepard,Principal Turner,1,1,guest stars
79499.0,Brett Claywell,Tim,1,1,guest stars
1215008.0,Vaughn Wilson,Fergie,1,1,guest stars
1215021.0,Cullen Moss,Junk,1,1,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,2,cast
98050.0,James Lafferty,Nathan Scott,1,2,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,2,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,2,cast
73035.0,Paul Johansson,Dan Scott,1,2,cast
54830.0,Sophia Bush,Brooke Davis,1,2,cast
12852.0,Barry Corbin,Whitey Durham,1,2,cast
4138.0,Craig Sheffer,Keith Scott,1,2,cast
20005.0,Moira Kelly,Karen Roe,1,2,cast
166897.0,Lee Norris,Mouth McFadden,1,2,guest stars
93602.0,Antwon Tanner,Skills Taylor,1,2,guest stars
23821.0,Bryan Greenberg,Jake Jagielski,1,2,guest stars
58733.0,Jason Davis,Mr. Kelly,1,2,guest stars
52494.0,Colin Fickes,Jimmy Edwards,1,2,guest stars
79499.0,Brett Claywell,Tim,1,2,guest stars
1215008.0,Vaughn Wilson,Fergie,1,2,guest stars
1215021.0,Cullen Moss,Junk,1,2,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,3,cast
98050.0,James Lafferty,Nathan Scott,1,3,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,3,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,3,cast
73035.0,Paul Johansson,Dan Scott,1,3,cast
54830.0,Sophia Bush,Brooke Davis,1,3,cast
12852.0,Barry Corbin,Whitey Durham,1,3,cast
