season_number,episode_number,air_date,name,overview,id,runtime
0,1,,Unaired Pilot,"The Unaired Pilot takes place in the past. It tells the story of Karen and Dan and how she got pregnant. Then, after Dan marries Deb it goes into the future further where Lucas has his first day at Tree Hill High. He meets mouth and others and realizes that maybe basketball is for him. That is until him and Nathan get into a fight about Dan. This is where it all begins.",14577,42
0,2,,Building a Winning Team,"The making of ""One Tree Hill"".  Behind-The-Scenes

Cast/Crew Retrospective",14576,18
0,3,2012-04-04,Always & Forever,Interview with the stars as they share their memorable moments from the series.,14579,42
1,1,2003-09-23,Pilot,"""Pilot"" is the first episode of One Tree Hill's first season. It first aired on The WB television network in the United States on September 23, 2003. It was written by Mark Schwahn and directed by Bryan Gordon. It saw John Keenan and Melissa Claire Egan guest star as Officer Wayman and Melody, respectively. It introduces the character of Lucas Scott — a high school student — and his friends and relatives in the fictional Tree Hill, North Carolina.",14392,42
1,2,2003-09-30,The Places You Have Come To Fear The Most,"Lucas blows his first Varsity game and decides to quit the team. The wedge between Nathan and Peyton continues to grow after Peyton tires of Nathan's jabs at Lucas. Meanwhile, Keith forces Karen to deal with her feelings for Dan after she refuses to step foot in the high school gym to support her son.",14393,42
1,3,2003-10-07,Are You True?,"Frustrated by Lucas' growing popularity at school, Nathan searches for Lucas' weak spot, and finds it in Haley. Meanwhile, Peyton is furious with Lucas for submitting her drawings to the local newspaper without her knowledge.",14394,42
1,4,2003-10-14,Crash Into You,"Haley convinces Lucas to go with the team to an after-party at Nathan's beach house in the hopes that the guys will become closer. When Lucas sees the wealth that was denied him, he finally confronts his mother about why she let Dan ignore them. Meanwhile, when Nathan's mom returns home to find a very angry son, she turns to Karen for advice.",14390,42
1,5,2003-10-21,All That You Can't Leave Behind,"Lucas asks Keith to play with him in the annual ""Father and Son"" basketball game, and realizes he got the better father figure after Dan publicly humiliates Nathan on the court. Also, Peyton has a hard time dealing with the anniversary of her mother's death and finds a comforting ally in Whitey.",14398,42
1,6,2003-10-28,Every Night Is Another Story,"When Whitey throws Lucas and Nathan off the bus due to their misconduct on the basketball court, not only does it leave the two brothers stranded 30 miles from home, but they encounter a carload of punks who threaten them with a gun. Injured during the game, Brooke needs Peyton to drive her home and in, an unlikely turn of events, Peyton asks Haley for help. Meanwhile, Karen and Keith attend a business function and tempers flare when Dan and Deb are seated at their table.",14396,40
1,7,2003-11-04,Life in a Glass House,"On the night of Dan and Deb's annual basketball appreciation party stirs up old wounds and new feelings as Karen makes a new friend, Keith faces off with his younger brother once again and Lucas finally makes his move on Peyton. Also, Haley and Nathan grow closer until Brooke spreads a vicious rumor that leaves Haley devastated.",14397,41
1,8,2003-11-11,The Search For Something More,"Looking for some fun, Brooke and Peyton crash a college party, but things turn ugly when one of the guys in the dorm, Gabe drugs Peyton. After Brooke calls Lucas for help, the two bond over caring for a sleeping Peyton, prompting Lucas to look at Brooke in a new light. Meanwhile, Haley gives Nathan another chance and the two go on their first date.",14395,42
1,9,2003-11-18,With Arms Outstretched,"After fighting with his father and Haley, Nathan succumbs to the pressure he is feeling and takes amphetamines to help his game. However, he isn't prepared for the destruction the drugs do to both his body and his family. Meanwhile, Peyton goes to Lucas to rekindle their relationship, but when she arrives at his house, she catches him with Brooke.",14400,39
1,10,2004-01-20,You Gotta Go There To Come Back,"After Whitey cancels basketball practice, Brooke convinces Lucas to let loose and takes him out for a wild night out on the town. Meanwhile, Deb instructs Dan to take Nathan away for a father-son weekend to try and rebuild their relationship, but things don't go exactly as she had hoped.",14399,42
